scope,pair,contrast,window,n_subjects,mean_x,mean_y,diff,sd_diff,t,p_ttest,p_wilcoxon,cohen_dz,n_x_better,n_y_better,n_ties,p_holm
pair,WFE_EFE,A - B,4000,18,64.475309,62.183642,2.291667,5.627042,1.727856,0.102134,0.133535,0.40726,10,6,2,1.0
pair,WFE_EFE,A - B,avg,18,62.71412,62.24537,0.46875,3.060455,0.649818,0.524494,0.506846,0.153164,10,7,1,1.0
pair,WFE_EFE,B+CWT - B,800,18,56.712963,62.816358,-6.103395,8.03503,-3.222703,0.004997,0.008965,-0.759598,2,16,0,1.0
pair,WFE_EFE,B+CWT - B,1500,18,58.117284,62.191358,-4.074074,8.824445,-1.958744,0.066756,0.097365,-0.461681,7,10,1,1.0
pair,WFE_EFE,B+CWT - B,3000,18,57.075617,61.790123,-4.714506,10.768879,-1.857385,0.080667,0.118706,-0.43779,5,13,0,1.0
pair,WFE_EFE,B+CWT - B,4000,18,56.041667,62.183642,-6.141975,8.818342,-2.954999,0.008865,0.01205,-0.6965,4,13,1,1.0
pair,WFE_EFE,B+CWT - B,avg,18,56.986883,62.24537,-5.258488,7.008065,-3.183457,0.005438,0.0056,-0.750348,4,14,0,1.0
pair,WFE_EFE,B+CWT - A,800,18,56.712963,63.410494,-6.697531,10.627288,-2.673797,0.016027,0.02759,-0.63022,3,14,1,1.0
pair,WFE_EFE,B+CWT - A,1500,18,58.117284,59.328704,-1.21142,10.82797,-0.474661,0.641069,0.722376,-0.111879,9,8,1,1.0
pair,WFE_EFE,B+CWT - A,3000,18,57.075617,63.641975,-6.566358,10.218408,-2.726325,0.014363,0.019888,-0.642601,4,12,2,1.0
pair,WFE_EFE,B+CWT - A,4000,18,56.041667,64.475309,-8.433642,12.330717,-2.901771,0.009925,0.008965,-0.683954,4,14,0,1.0
pair,WFE_EFE,B+CWT - A,avg,18,56.986883,62.71412,-5.727238,8.871587,-2.738925,0.013989,0.01593,-0.645571,4,14,0,1.0
pair,WFE_SPS,A - B,800,18,67.692901,67.283951,0.408951,4.614169,0.376022,0.711552,0.585788,0.088629,9,7,2,1.0
pair,WFE_SPS,A - B,1500,18,69.521605,69.33642,0.185185,6.144073,0.127875,0.899748,0.604369,0.03014,9,7,2,1.0
pair,WFE_SPS,A - B,3000,18,69.12037,70.794753,-1.674383,5.084497,-1.39715,0.18034,0.154269,-0.329311,6,10,2,1.0
pair,WFE_SPS,A - B,4000,18,70.91821,68.765432,2.152778,7.107442,1.285056,0.216006,0.178519,0.302891,11,5,2,1.0
pair,WFE_SPS,A - B,avg,18,69.313272,69.045139,0.268133,3.863307,0.29446,0.771971,0.798153,0.069405,8,7,3,1.0
pair,WFE_SPS,B+CWT - B,800,18,60.95679,67.283951,-6.32716,7.655318,-3.506565,0.002705,0.006026,-0.826505,4,13,1,0.792643
pair,WFE_SPS,B+CWT - B,1500,18,67.492284,69.33642,-1.844136,7.874746,-0.993557,0.334371,0.300569,-0.234184,7,9,2,1.0
